更新时间,#genre#
2024-12-05 06:30:20,url
📺央视频道,#genre#
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$组播源|1920x1080
CCTV-1,http://122.9.151.210:8088/rtp/238.255.2.91:5999$组播源
CCTV-1,http://122.9.151.210:2669/rtp/238.255.2.91:5999$组播源
CCTV-1,http://139.196.151.191:2817/rtp/239.45.3.145:5140$上海电信组播源
CCTV-1,http://123.56.129.203:2562/rtp/225.1.8.1:8008$北京电信组播源
CCTV-1,http://123.56.129.203:2562/rtp/225.1.8.101:8080$北京电信组播源
CCTV-1,http://122.9.151.210:6861/rtp/238.255.2.91:5999$贵州电信组播源
CCTV-1,http://123.56.129.203:4522/rtp/225.1.8.1:8008$北京电信组播源
CCTV-1,http://123.56.129.203:4522/rtp/225.1.8.101:8080$北京电信组播源
CCTV-1,http://123.56.129.203:7637/rtp/225.1.8.1:8008$组播源
CCTV-1,http://nas.hssvm.com:8888/udp/225.1.1.120:5002$订阅源|1920x1080
CCTV-1,http://111.196.129.152:20000/udp/239.3.1.129:8008$订阅源|1920x1080
CCTV-1,http://114.243.98.12:8888/udp/239.3.1.129:8008$订阅源|1920x1080
CCTV-1,http://222.129.139.229:8888/udp/239.3.1.129:8008$订阅源|1920x1080
CCTV-1,http://114.244.237.230:7088/udp/239.3.1.129:8008$订阅源|1920x1080
CCTV-1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$订阅源|1920x1080
CCTV-1,http://z.b.bkpcp.top/m.php?id=cctv1$订阅源|1920x1080
CCTV-1,http://42.48.50.232:9002/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源|1920x1080
CCTV-1,http://222.210.153.89:8888/udp/239.93.0.184:5140$订阅源|1920x1080
CCTV-1,http://115.48.63.106:9901/tsfile/live/0001_1.m3u8$订阅源|1920x1080
